co_cnes,co_ibge,origem_dado,data_atualizacao,lat,long
"2684403","412510","PMAQ","2015-05-27","-25.683","-50.297"
"2684411","412510","PMAQ","2015-05-27","-25.6550717353813","-50.3932356834397"
"2684438","412510","PMAQ","2015-05-27","-25.6877624988548","-50.3013968467698"
"2576694","412520","PMAQ","2015-05-27","-25.706","-52.918"
"2583372","412520","PMAQ","2015-05-27","-25.706","-52.918"
"2584360","412520","PMAQ","2015-05-27","-25.714948099592","-52.9201031661411"
"2584379","412520","PMAQ","2015-05-27","-25.6908309459679","-52.8545165061935"
"2584387","412520","PMAQ","2015-05-27","-25.7770907878868","-52.9175376892075"
"6412254","412520","PMAQ","2015-05-27","-25.714948099592","-52.9201031661411"
"6653375","412520","PMAQ","2015-05-27","-25.7166445255272","-52.920520305632"
"2735458","412530","PMAQ","2015-05-27","-23.4354578614103","-52.2943419624335"
"2735490","412530","PMAQ","2015-05-27","-23.4327971935265","-52.2953939437851"
"2665360","412535","PMAQ","2015-05-27","-23.741","-53.927"
"2665379","412535","PMAQ","2015-05-27","-23.793983459472","-53.9431715011581"
"4056205","412535","PMAQ","2015-05-27","-23.7582479652566","-53.8833305620972"
"4056256","412540","PMAQ","2015-05-27","-23.916","-49.652"
"5536286","412540","PMAQ","2015-05-27","-24.013710021972","-49.6528172492967"
"6797172","412540","PMAQ","2015-05-27","-23.9162278175347","-49.6489977836594"
"4056272","412545","PMAQ","2015-05-27","-24.838","-54.064"
"18791","412550","PMAQ","2015-05-27","-25.5059409141533","-49.1715431213365"
"18805","412550","PMAQ","2015-05-27","-25.4830777645104","-49.1476607322679"
"18848","412550","PMAQ","2015-05-27","-25.537702","-49.2000824656673"
"18864","412550","PMAQ","2015-05-27","-25.4806530475609","-49.1678953170762"
"18872","412550","PMAQ","2015-05-27","-25.537702","-49.2000824656673"
"18899","412550","PMAQ","2015-05-27","-25.537702","-49.2000824656673"
"18929","412550","PMAQ","2015-05-27","-25.5282890796654","-49.2070126533494"
"18937","412550","PMAQ","2015-05-27","-25.5362498760216","-49.0902614593492"
"18945","412550","PMAQ","2015-05-27","-25.8023893833153","-48.9133214950547"
"18953","412550","PMAQ","2015-05-27","-25.592511892318","-49.1296362876878"
"18961","412550","PMAQ","2015-05-27","-25.6643092632286","-49.1002607345567"
"19070","412550","PMAQ","2015-05-27","-25.6755316257469","-49.1801691055284"
"19119","412550","PMAQ","2015-05-27","-25.6127572059624","-49.2086219787583"
"19127","412550","PMAQ","2015-05-27","-25.7556223869316","-49.165878295897"
"2682125","412550","PMAQ","2015-05-27","-25.5401337146752","-49.1544842720017"
"4056302","412550","PMAQ","2015-05-27","-25.537702","-49.2000824656673"
"6603629","412550","PMAQ","2015-05-27","-25.5067992210381","-49.134893417357"
"2734648","412555","PMAQ","2015-05-27","-23.39765","-52.64605"
"2549743","412560","PMAQ","2015-05-27","-25.874","-50.383"
"2549778","412560","PMAQ","2015-05-27","-25.874","-50.383"
"2549786","412560","PMAQ","2015-05-27","-25.874","-50.383"
