co_cnes,resultado
14060,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
14079,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17256,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17299,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17329,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17337,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17469,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17485,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17507,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18791,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18805,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18848,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18864,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18872,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18899,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18929,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18937,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18945,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
18953,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18961,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19070,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19119,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19127,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19186,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21954,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21989,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21997,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
25607,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
